identifier,basis_of_record,other_identifier,MS_identifier,title,contributor,date,display_date,start_date,description,spatial,locality,location,decimalLatitude,decimalLongitude,repository,license,rights_holder,recordId,references,visibility,type,format
VTEC000004847,PreservedSpecimen,Occurrence ID: fde5faff-493c-43dc-b79c-e86ddbd259b8,449595,"Lytta (Fabricius, 1775)",A. M. Woodside (recorded by),4/15/1946,4/15/1946,4/15/1946,habitat: on peach||lifeStage: Adult||preparations: pinned specimen,"""Albemarle, Virginia, United States""",Greenwood,38.055693 || -78.770577,38.055693,-78.770577,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:fde5faff-493c-43dc-b79c-e86ddbd259b8,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858379,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000004835,PreservedSpecimen,Occurrence ID: fc59849b-c58b-4b05-a2b5-e8b5f2a988c4,450416,Scolia bicincta (Fabricius),J. M. Grayson (recorded by),8/29/1944,8/29/1944,8/29/1944,lifeStage: Adult||preparations: pinned specimen,"""Suffolk, Virginia, United States""",Holland,36.681262 || -76.780236,36.681262,-76.780236,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:fc59849b-c58b-4b05-a2b5-e8b5f2a988c4,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858221,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000004836,PreservedSpecimen,Occurrence ID: 7671e354-fe73-41a1-881c-0f4bb094388b,469738,"Euphoria fulgida ((Fabricius, 1775))",E. Day (recorded by),6/3/1998,6/3/1998,6/3/1998,lifeStage: Adult||preparations: pinned specimen,"""Frederick, Virginia, United States""",,39.203931 || -78.271973,39.203931,-78.271973,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:7671e354-fe73-41a1-881c-0f4bb094388b,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858222,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000004837,PreservedSpecimen,Occurrence ID: 7ba3801b-a6b5-4729-a1ed-8506eec33b27,469739,"Euphoria inda ((Linnaeus, 1758))",Marvin L. Bobb (recorded by),8/21/1934,8/21/1934,8/21/1934,lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:7ba3801b-a6b5-4729-a1ed-8506eec33b27,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858223,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000004838,PreservedSpecimen,Occurrence ID: 645e2ce4-2b27-4fd8-8894-084d25a89281,469740,Rhaxonycha carolina,"C. B. Nolen, Jr. (recorded by)",5/6/1959,5/6/1959,5/6/1959,lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:645e2ce4-2b27-4fd8-8894-084d25a89281,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858224,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000004843,PreservedSpecimen,Occurrence ID: 6d628fb5-5e5f-4cea-9687-dfb88dde7944,572179,Chilocorus stigma,J. R. Bliss (recorded by),4/23/1962,4/23/1962,4/23/1962,habitat: Field||lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:6d628fb5-5e5f-4cea-9687-dfb88dde7944,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858354,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000004844,PreservedSpecimen,Occurrence ID: 3fd1117c-cbb4-4c8b-a650-ddedffe2b785,572180,Hoshihananomia octopunctata,Garth (recorded by),1942-05,1942-05,1942-05,lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:3fd1117c-cbb4-4c8b-a650-ddedffe2b785,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858360,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000004845,PreservedSpecimen,Occurrence ID: 0d828112-9e71-4b84-a100-ee544bb48cc5,572181,Tomoxia lineella,Eric Day (recorded by),7/9/2002,7/9/2002,7/9/2002,lifeStage: Adult||preparations: pinned specimen,"""Loudoun, Virginia, United States""","Malick Farm, Neersville",39.261213 || -77.725826,39.261213,-77.725826,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:0d828112-9e71-4b84-a100-ee544bb48cc5,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858361,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000004848,PreservedSpecimen,Occurrence ID: 5fcb5cc1-417e-43eb-b81c-ea749a64c61e,572182,Pyrota mutata (Gemminger),A. M. Woodside (recorded by),6/24/1947,6/24/1947,6/24/1947,habitat: on Achillea millefolium||lifeStage: Adult||preparations: pinned specimen,"""Albemarle, Virginia, United States""",Crozet,38.069582 || -78.700575,38.069582,-78.700575,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:5fcb5cc1-417e-43eb-b81c-ea749a64c61e,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858391,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000004849,PreservedSpecimen,Occurrence ID: 4d0d5b53-9e32-4919-bf39-3bed11149784,572184,"Epicauta (Dejean, 1834)",T. McAvoy (recorded by),8/17/1974,8/17/1974,8/17/1974,lifeStage: Adult||preparations: pinned specimen,"""New Castle, Delaware, United States""",Newark,39.683723 || -75.749657,39.683723,-75.749657,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:4d0d5b53-9e32-4919-bf39-3bed11149784,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858401,TRUE,three dimensional object||still image,model/x3d || image/tiff
