ObjectId,identifier,other_identifier,medium,title,description,display_date,date,start_date,end_date,tags,subject,provenance,repository,rights,visibility
1950.001.003,fchs_1950.001.003,1950.001,scooters (land vehicles),Lollipop,"A wooden riding toy that belonged to Jessie Tice Heafner. She called it ""Lollipop"".",,,,,"Heafner, Jessie||wooden toys",Toys,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.004,fchs_1950.001.004,1950.001,chamber pots,Ridgemont Hospital Chamber Pot,This and similar chamber pots would have been used in hospitals like the Rigemont.,,,,,,Chamber pots,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.009,fchs_1950.001.009,1950.001,European paper money,10 Francs French Bank Note,"A WW II era French bank note. The donor and the context of this object is unknown. However, it is believed that the donor is from Floyd County and was in some way involved in WWII.",,,,,Currency,Paper money|| Money,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.010,fchs_1950.001.010,1950.001,picture postcards,Collection of Five WWII-Era Postcards,"A collection of postcards that are of the mid 20th Century / WW II era. Includes a postcard of a German Officer. The donor of these postcards is unknown. However, it is believed that the donor was from Floyd County and may have been involved in WWII.",,,,,postcard,"World War, 1939-1945|| Postcards","Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.012,fchs_1950.001.012,1950.001,spinning wheels,Vintage Spinning Wheel,A mid-19th Century wool/flax spinning wheel.,,,,,Spinning,Spinning|| Spinning-wheel,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.020,fchs_1950.001.020,1950.001,handkerchiefs,Souvenir de France Handkerchief,A delicate hand embroidered lace handkerchief with crossed French and American flags. The border has a design of pink roses.,,,,,handkerchief,Handkerchiefs,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.021,fchs_1950.001.021,1950.001,book jackets,Camp Lee,"A hand sewn book cover with an American military motif and the inscription ""Camp Lee"" on the inside.",,,,,,Book jackets,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.035,fchs_1950.001.035,1950.001,lapel pins,Virginia Education Association 25 Year Service Pin,A blue and gold lapel pin commemorating 25 years of service within the Virginia education system.,,,,,lapel pin|| lapel pin/button|| lapel pins,Awards,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.036,fchs_1950.001.036,1950.001,box cameras,AGFA Pioneer,"A large format box camera called the Pioneer, by AGFA. The back reads Ansco, Binghamton, N.Y. Made in U.S.A.",,,,,Agfa,Photography|| Cameras,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.038,fchs_1950.001.038,1950.001,scrapbooks,An Old Scrapbook,"An old scrapbook of unknown history or provenance. There are references to names such as John Poff and Edsel Grace. The contents are an eclectic collection of newspaper clippings about obituaries, weddings, and other life events.",,,,,scrapbook,Scrapbooks,"Donor, Unknown",,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.043,fchs_1950.001.043,1950.001,chairs (furniture forms),Wooden Childs Chair,One of two identical chairs.,,,,,chair,Chairs,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.044,fchs_1950.001.044,1950.001,chairs (furniture forms),Wooden Childs Chair,One of two identical chairs.,,,,,chair,Chairs,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.045,fchs_1950.001.045,1950.001,chairs (furniture forms),Wooden Chair,"One of two similar chairs. Maple wood chair frame with Hickory seat weave. Ladder back style, AKA Deacon's Chair.",,,,,chair,Chairs,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.046,fchs_1950.001.046,1950.001,chairs (furniture forms),Wooden Chair,"One of two similar chairs. Maple wood chair frame with Hickory seat weave. Ladder back style, AKA Deacon's Chair.",,,,,chair,Chairs,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.047,fchs_1950.001.047,1950.001,chairs (furniture forms),Wooden Chair,A wooden chair with a flat weave bottom of reed.,,,,,chair|| chairs,Chairs,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.048,fchs_1950.001.048,1950.001,chairs (furniture forms),Wooden Chair,A wooden chair with a wooden seat.,,,,,chairs|| chair,Chairs,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.050,fchs_1950.001.050,1950.001,mining pick,Hand Forged Miner's Pick,This hand forged miner's pick is believed to have been used in a gold mining operation in Floyd County.,,,,,Pick,Gold mines and mining|| Equipment and supplies,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.051,fchs_1950.001.051,1950.001,hitches,Implement Hitching Hook,A heavy steel (likely hand forged) hook for attaching implements to a pulling harness or rig.,,,,,Hook,Farm equipment,"Donor, Unknown",,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.052,fchs_1950.001.052,1950.001,mining pick,Miner's Pick,This miner's pick was found near Bush Creek at Walcott in Floyd county. It is believed to have been used in gold mining in Floyd County.,,,,,Pick,Gold mines and mining|| Equipment and supplies,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.053,fchs_1950.001.053,1950.001,garden cultivator,Garden Cultivator,A well worn garden tool of unknown origin or provenance.,,,,,Cultivator|| agriculture,Gardening|| Garden tools,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.071,fchs_1950.001.071,1950.001,flags,An American Flag flown by William Bolling Izard,"A well worn and tattered 50-star American Flag. This flag was flown by William Izard at his home in Copper Hill, Virgina.",,,,,William Bolling Izard||American flag|| flag|| flags,Flags,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.0124,fchs_1950.001.0124,1950.001,photocopies,Photocopy of Portrait,Photocopy of portrait of unknown woman,,,,,,Portraits|| Photocopying|| Facsimiles,"Donor, Unknown","Floyd County Historical Society (Floyd County, Va.)",https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.128,fchs_1950.001.128,1950.001,shaving kits,World War I Era Shaving Kit of Bruster Shelor,"World War I Era Shaving Kit of Bruster Shelor. Razor, Mirror, Blades, and Instruction Book

AutoStrop Safety Razor",,,,,"Shelor, Bruster||Shaving Kit","World War, 1914-1918|| Shaving--Equipment and supplies","Donor, Unknown",,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.131,fchs_1950.001.131,1950.001,wrap dresses,"Puttees, Leg Wraps","Puttees, Leg Wraps used by soldiers during World War I.",,,,,World War I,"World War, 1914-1918|| Wrapping cloths","Donor, Unknown",,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
1950.001.132,fchs_1950.001.132,1950.001,mess kits,Mess Kit,Mess Kit from World War I.,,,,,World War I|| Mess Kit,"World War, 1914-1918|| Mess kits","Donor, Unknown",,https://rightsstatements.org/vocab/InC-NC/1.0/?language=en,1
