identifier,title,description,publisher,spatial,display_date,start_date,end_date,date,tags,extent,rights_holder,rights,license,visibility,resource_type,medium,language
nmcst005001,"Abilene, VA","A map of Abilene, VA","Commonwealth of Virginia Division of Mineral Resources, USGS","Abilene, Charlotte, Virginia, United States",1968,1968,1968,,"Virginia - U.S. 1:24,000 ||  1:24,000 Topographic","1:24,000",No Copyright,,http://creativecommons.org/publicdomain/zero/1.0/,TRUE,Cartographic,map,en
nmcst005041,"Ballsville, VA","A map of Ballsville, VA","Division of Mineral Resource, USGS","Ballsville, Powhatan, Virginia, United States","1968, Photoinspected 1974",1968,1974,,"Virginia - U.S. 1:24,000 || 1:24,000 Topographic","1:24,000",No Copyright,,http://creativecommons.org/publicdomain/zero/1.0/,TRUE,Cartographic,map,en
nmcst005043,"Barboursville, VA","A map of Barboursville, VA","Division of Mineral Resource, USGS","Barboursville, Orange, Virginia, United States",1977,1977,1977,,"Virginia - U.S. 1:24,000 || 1:24,000 Topographic","1:24,000",No Copyright,,http://creativecommons.org/publicdomain/zero/1.0/,TRUE,Cartographic,map,en
nmcst005050,"Beach, VA","A map of Beach, VA","Division of Mineral Resource, USGS","Beach, Chesterfield, Virginia, United States","1963, Photorevised 1968 AND 1974",1963,1974,,"Virginia - U.S. 1:24,000 || 1:24,000 Topographic","1:24,000",No Copyright,,http://creativecommons.org/publicdomain/zero/1.0/,TRUE,Cartographic,map,en
nmcst008019,"Virginia Beach, VA","A map of Virginia Beach, VA","Army Mapping Service, USGS","Virginia Beach, Princess Anne, Virginia, United States",,1944,1948,,"Virginia - U.S. 1:24,000 || 1:24,000 Topographic","1:24,000",No Copyright,,http://creativecommons.org/publicdomain/zero/1.0/,TRUE,Cartographic,map,en
nmcst008098,"Albemarle County , City of Charlottesville, Virginia","A map of Albemarle County , City of Charlottesville, Virginia","USGS, Commonwealth of Virginia Agencies","Charlottesville, Albemarle, Virginia, United States",1991,1991,1991,,"Virginia - U.S. 1:50,000 Scale Metric & Topographic ","1:50,000",No Copyright,,http://creativecommons.org/publicdomain/zero/1.0/,TRUE,Cartographic,map,en
nmcst013018,Gulf Coast to New England Mosaic,A map of Gulf Coast to New England Mosaic,NASA-JSC,"Eastern United States, United States",1974,1974,1974,,North America || SKYLAB3 || NASA-JSC || 1978,,No Known Copyright,,,TRUE,Cartographic,map,en
nmcst013021,Gulf Coast to New England Mosaic,A map of Gulf Coast to New England Mosaic,NASA-JSC,"Eastern United States, United States",1974,1974,1974,,North America || SKYLAB3 || NASA-JSC || 1974,,No Known Copyright,,,TRUE,Cartographic,map,en
nmcst013041,Soil Map of the World,A map of Soil Map of the World,FAO & UNESCO,World,1972,1972,1972,,North America,,No Known Copyright,,,TRUE,Cartographic,map,en
nmcst013074,"Les Cayes, Haiti","A map of Les Cayes, Haiti",Aeronautical Chart and Information Center,"Les Cayes, Sud, Haiti",1968,1968,1968,,Central America & Caribbean || Joint Operations Gaphic (Ground) 1501,,No Known Copyright,,,TRUE,Cartographic,map,en
nmcst013094,Carte De La Guyane Francaise,A map of Carte De La Guyane Francaise,Institut G̩ographique National,"French Guiana, South America",1963,1963,1963,,South America,,No Known Copyright,,,TRUE,Cartographic,map,en
nmcst013115,"Mexico, Central America, and the West Indians","A map of Mexico, Central America, and the West Indians",Defense Mapping Agency Topographic Center,South America,1941,1941,1941,,South America,,No Known Copyright,,,TRUE,Cartographic,map,en
nmcst013126,Soil Map of the World,A map of Soil Map of the World,"Unesco, Paris",South America,1970,1970,1970,,South America,,No Known Copyright,,,TRUE,Cartographic,map,en
nmcst013127,Soil Map of the World,A map of Soil Map of the World,"Unesco, Paris",South America,1970,1970,1970,,South America,,No Known Copyright,,,TRUE,Cartographic,map,en
