identifier,title,description,language,creator,created,display_date,date,start_date,end_date,subject,type,medium,extent,spatial,collection,repository,rights,visibility
sfdst001001,Fire Rcords,Records book logging the activities of the Salem Fire Department in the year 1883.,en,,1883/07||1890/02/24,1883-07/1890-02-24,1883-07||1890-02-24,1883-07,1890-02-24,Fire departments|| Virginia,Text,logs (records),79 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst001002,Salem Fire Department Records 1906-1921,Record book of meetings held by the Salem Fire Department from 1906-1921. Includes 4 pages of clippings.,en,,1906/02/07||1921/03/28,1906-02-07/1921-03-28,1906-02-07||1921-03-28,1906-02-07,1921-03-28,Fire departments|| Virginia,Text,records (documents),146 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst001003,Salem Fire Department Records 1923-1932,"Record book logging the activities of the Salem Fire Department from 1923-1932. Pages 45-46, 49-50, 67-72, 75-78, 81-82, 93-94, 107-108, 113-114, 123-124 missing.",en,,1923/03/21||1932/02/25,1923-03-21/1932-02-25,1923-03-21||1932-02-25,1923-03-21,1932-02-25,Fire departments|| Virginia,Text,records (documents),108 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002001,Fire Department Hazmat Unit Truck,"Photograph of a hazmat unit truck, showing a truck with an awning attached to it as well as some of its equipment laid out neatly next to the truck.",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002002,Fire Department Tower One Fire Truck,"Mounted Fire Truck photo, showing a fire truck with stoppers on its wheels and anchors engaged at the sides while its ladder is extended.",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002003,"League of VA Municipalities Roanoke, VA Oct 22, 1930","Photograph of the members of the League of Virginia Municipalities, taken in Roanoke, VA, dated for Oct 22, 1930",en,,1930/10/22,1930-10-22,1930-10-22,1930-10-22,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002004,Fire at Moore Milling Co.,Photo of fire being fought by the Salem Fire Department at Moore Milling Co.,en,,,,,,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002005,"Headshot of Gilbert, 1975","Headshot photograph of a man named Gilbert, taken in 1975",en,,1975,1975,1975,1975,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002006,"Virginia Fireman, Vol. 14, No. 4, July-August, 1969","A copy of the Virginia Fireman Newspaper Volume 14 Number 4, dated from July - August 1969",en,,1969/07||1969/08,1969-07/1969-08,1969-07||1969-08,1969-07,1969-08,Fire departments|| Virginia,Text,newspapers,24 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002007,"Roanoke Times, Saturday, April 28, 1956","A section of the Roanoke Times Newspaper, dated for Saturday, April 28, 1956. Writing in pen on the first page shown reads ""Tootie of the army""(?)",en,,1956/04/28,1956-04-28,1956-04-28,1956-04-28,,Fire departments|| Virginia,Text,newspapers,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
