basis_of_record,other_identifier,identifier,title,contributor,date,display_date,start_date,description,spatial,locality,decimalLatitude,decimalLongitude,Locality,Repository,license,rights_holder,recordId,references,visibility,type,format
PreservedSpecimen,Occurrence ID: 5553d128-e845-40ee-aeff-cdc32ddc5e44,VTEC000004833,Scolia dubia (Say),G. B. Straley (recorded by),1970-08-17,1970-08-17,1970/08/17,lifeStage: Adult||preparations: pinned specimen,"New Kent, Virginia, United States",S. of Lanexa,37.408792,-76.899657,37.408792||-76.899657,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:5553d128-e845-40ee-aeff-cdc32ddc5e44,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48853575,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: e8f1f5b8-9e72-4b72-90e7-480d2db19a2a,VTEC000004834,Scolia dubia (Say),D. Rowe (recorded by),1978-08-26,1978-08-26,1978/08/26,habitat: Lawn||lifeStage: Adult||preparations: pinned specimen,"Wyoming, West Virginia, United States",Oceana,37.692327,-81.632924,37.692327||-81.632924,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:e8f1f5b8-9e72-4b72-90e7-480d2db19a2a,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858220,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: fc59849b-c58b-4b05-a2b5-e8b5f2a988c4,VTEC000004835,Scolia bicincta (Fabricius),J. M. Grayson (recorded by),1944-08-29,1944-08-29,1944/08/29,lifeStage: Adult||preparations: pinned specimen,"Suffolk, Virginia, United States",Holland,36.681262,-76.780236,36.681262||-76.780236,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:fc59849b-c58b-4b05-a2b5-e8b5f2a988c4,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858221,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 7671e354-fe73-41a1-881c-0f4bb094388b,VTEC000004836,"Euphoria fulgida ((Fabricius, 1775))",E. Day (recorded by),1998-06-03,1998-06-03,1998/06/03,lifeStage: Adult||preparations: pinned specimen,"Frederick, Virginia, United States",,39.203931,-78.271973,39.203931||-78.271973,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:7671e354-fe73-41a1-881c-0f4bb094388b,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858222,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 7ba3801b-a6b5-4729-a1ed-8506eec33b27,VTEC000004837,"Euphoria inda ((Linnaeus, 1758))",Marvin L. Bobb (recorded by),1934-08-21,1934-08-21,1934/08/21,lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States",Blacksburg,37.229573,-80.413939,37.229573||-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:7ba3801b-a6b5-4729-a1ed-8506eec33b27,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858223,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 645e2ce4-2b27-4fd8-8894-084d25a89281,VTEC000004838,Rhaxonycha carolina,"C. B. Nolen, Jr. (recorded by)",1959-05-06,1959-05-06,1959/05/06,lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States",Blacksburg,37.229573,-80.413939,37.229573||-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:645e2ce4-2b27-4fd8-8894-084d25a89281,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858224,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 08c5933b-e4b3-4865-9184-283f4ef6ab47,VTEC000004839,"Chauliognathus pensylvanicus ((DeGeer, 1773)))",C. R. Parker (recorded by),1976-08-23,1976-08-23,1976/08/23,habitat: Field||lifeStage: Adult||preparations: pinned specimen,"Carroll, Virginia, United States","New River, Fries Bridge",36.713477,-80.960924,36.713477||-80.960924,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:08c5933b-e4b3-4865-9184-283f4ef6ab47,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858243,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 87486c24-f865-4732-8405-3f37c7e0427f,VTEC000004840,Enoclerus ichneumoneus,A. M. Woodside (recorded by),1945-06-22,1945-06-22,1945/06/22,habitat: on peach||lifeStage: Adult||preparations: pinned specimen,"Albemarle, Virginia, United States",Crozet,38.069582,-78.700575,38.069582||-78.700575,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:87486c24-f865-4732-8405-3f37c7e0427f,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858265,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: fa0a883c-190a-41cc-9094-0f23c6c958b3,VTEC000004841,Coccinella maculata maculata,,1936-10,1936-10,1936/10,lifeStage: Adult||preparations: pinned specimen,"Virginia, United States",Blue Ridge,37.378469,-79.806983,37.378469||-79.806983,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:fa0a883c-190a-41cc-9094-0f23c6c958b3,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858280,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 7c387996-abfd-4870-a9cd-d6001388032f,VTEC000004842,"Hippodamia convergens (Guérin-Méneville, 1842)",W. Tarpley (recorded by),1963-08-15,1963-08-15,1963/08/15,lifeStage: Adult||preparations: pinned specimen,"Middlesex, Virginia, United States",0,37.603264,-76.550221,37.603264||-76.550221,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:7c387996-abfd-4870-a9cd-d6001388032f,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48858327,True,still image,image/tiff
