identifier,basis_of_record,occurrence_ID,other_identifier,MS_identifier,title,contributor,recordedBy,date,display_date,start_date,description,spatial,locality,location,decimalLatitude,decimalLongitude,repository,license,rights_holder,recordId,references,georeferencedBy,identifiedBy,type,format,visibility
VTEC000004847,PreservedSpecimen,Occurrence ID: fde5faff-493c-43dc-b79c-e86ddbd259b8,Occurrence ID: fde5faff-493c-43dc-b79c-e86ddbd259b8||Record ID: fde5faff-493c-43dc-b79c-e86ddbd259b8,449595,"Lytta (Fabricius, 1775)",A. M. Woodside (recorded by)||M. E. Hellier (georeferenced by),A. M. Woodside (recorded by),1946-04-15,1946-04-15,1946/04/15,habitat: on peach||lifeStage: Adult||preparations: pinned specimen,"""Albemarle, Virginia, United States""",Greenwood,38.055693 || -78.770577,38.055693,-78.770577,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,fde5faff-493c-43dc-b79c-e86ddbd259b8,https://ecdysis.org/collections/individual/index.php?occid=1730433,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004835,PreservedSpecimen,Occurrence ID: fc59849b-c58b-4b05-a2b5-e8b5f2a988c4,Occurrence ID: fc59849b-c58b-4b05-a2b5-e8b5f2a988c4||Record ID: fc59849b-c58b-4b05-a2b5-e8b5f2a988c4,450416,Scolia bicincta (Fabricius),J. M. Grayson (recorded by)||M. E. Hellier (georeferenced by),J. M. Grayson (recorded by),1944-08-29,1944-08-29,1944/08/29,lifeStage: Adult||preparations: pinned specimen,"""Suffolk, Virginia, United States""",Holland,36.681262 || -76.780236,36.681262,-76.780236,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,fc59849b-c58b-4b05-a2b5-e8b5f2a988c4,https://ecdysis.org/collections/individual/index.php?occid=1730421,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004836,PreservedSpecimen,Occurrence ID: 7671e354-fe73-41a1-881c-0f4bb094388b,Occurrence ID: 7671e354-fe73-41a1-881c-0f4bb094388b||Record ID: 7671e354-fe73-41a1-881c-0f4bb094388b,469738,"Euphoria fulgida (Fabricius, 1775)",E. Day (recorded by)||M. E. Hellier (georeferenced by),E. Day (recorded by),1998-06-03,1998-06-03,1998/06/03,lifeStage: Adult||preparations: pinned specimen,"""Frederick, Virginia, United States""",,39.203931 || -78.271973,39.203931,-78.271973,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,7671e354-fe73-41a1-881c-0f4bb094388b,https://ecdysis.org/collections/individual/index.php?occid=1730422,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004837,PreservedSpecimen,Occurrence ID: 7ba3801b-a6b5-4729-a1ed-8506eec33b27,Occurrence ID: 7ba3801b-a6b5-4729-a1ed-8506eec33b27||Record ID: 7ba3801b-a6b5-4729-a1ed-8506eec33b27,469739,"Euphoria inda (Linnaeus, 1758)",Marvin L. Bobb (recorded by)||M. E. Hellier (georeferenced by)||M. L. Bobb (identified by),Marvin L. Bobb (recorded by),1934-08-21,1934-08-21,1934/08/21,lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,7ba3801b-a6b5-4729-a1ed-8506eec33b27,https://ecdysis.org/collections/individual/index.php?occid=1730423,M. E. Hellier (georeferenced by),M. L. Bobb (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004838,PreservedSpecimen,Occurrence ID: 645e2ce4-2b27-4fd8-8894-084d25a89281,Occurrence ID: 645e2ce4-2b27-4fd8-8894-084d25a89281||Record ID: 645e2ce4-2b27-4fd8-8894-084d25a89281,469740,Rhaxonycha carolina,"C. B. Nolen, Jr. (recorded by)||M. E. Hellier (georeferenced by)","C. B. Nolen, Jr. (recorded by)",1959-05-06,1959-05-06,1959/05/06,lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,645e2ce4-2b27-4fd8-8894-084d25a89281,https://ecdysis.org/collections/individual/index.php?occid=1730424,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004843,PreservedSpecimen,Occurrence ID: 6d628fb5-5e5f-4cea-9687-dfb88dde7944,Occurrence ID: 6d628fb5-5e5f-4cea-9687-dfb88dde7944||Record ID: 6d628fb5-5e5f-4cea-9687-dfb88dde7944,572179,Chilocorus stigma,J. R. Bliss (recorded by)||M. E. Hellier (georeferenced by),J. R. Bliss (recorded by),1962-04-23,1962-04-23,1962/04/23,habitat: Field||lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,6d628fb5-5e5f-4cea-9687-dfb88dde7944,https://ecdysis.org/collections/individual/index.php?occid=1730429,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004844,PreservedSpecimen,Occurrence ID: 3fd1117c-cbb4-4c8b-a650-ddedffe2b785,Occurrence ID: 3fd1117c-cbb4-4c8b-a650-ddedffe2b785||Record ID: 3fd1117c-cbb4-4c8b-a650-ddedffe2b785,572180,Hoshihananomia octopunctata,Garth (recorded by)||M. E. Hellier (georeferenced by)||Downie (identified by),Garth (recorded by),1942-05,1942-05,1942/05,lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",Blacksburg,37.229573 || -80.413939,37.229573,-80.413939,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,3fd1117c-cbb4-4c8b-a650-ddedffe2b785,https://ecdysis.org/collections/individual/index.php?occid=1730430,M. E. Hellier (georeferenced by),Downie (identified by),three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004845,PreservedSpecimen,Occurrence ID: 0d828112-9e71-4b84-a100-ee544bb48cc5,Occurrence ID: 0d828112-9e71-4b84-a100-ee544bb48cc5||Record ID: 0d828112-9e71-4b84-a100-ee544bb48cc5,572181,Tomoxia lineella,Eric Day (recorded by)||M. E. Hellier (georeferenced by),Eric Day (recorded by),2002-07-09,2002-07-09,2002/07/09,lifeStage: Adult||preparations: pinned specimen,"""Loudoun, Virginia, United States""","Malick Farm, Neersville",39.261213 || -77.725826,39.261213,-77.725826,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,0d828112-9e71-4b84-a100-ee544bb48cc5,https://ecdysis.org/collections/individual/index.php?occid=1730431,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004848,PreservedSpecimen,Occurrence ID: 5fcb5cc1-417e-43eb-b81c-ea749a64c61e,Occurrence ID: 5fcb5cc1-417e-43eb-b81c-ea749a64c61e||Record ID: 5fcb5cc1-417e-43eb-b81c-ea749a64c61e,572182,Pyrota mutata (Gemminger),A. M. Woodside (recorded by)||M. E. Hellier (georeferenced by),A. M. Woodside (recorded by),1947-06-24,1947-06-24,1947/06/24,habitat: on Achillea millefolium||lifeStage: Adult||preparations: pinned specimen,"""Albemarle, Virginia, United States""",Crozet,38.069582 || -78.700575,38.069582,-78.700575,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,5fcb5cc1-417e-43eb-b81c-ea749a64c61e,https://ecdysis.org/collections/individual/index.php?occid=1730434,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000004849,PreservedSpecimen,Occurrence ID: 4d0d5b53-9e32-4919-bf39-3bed11149784,Occurrence ID: 4d0d5b53-9e32-4919-bf39-3bed11149784||Record ID: 4d0d5b53-9e32-4919-bf39-3bed11149784,572184,"Epicauta (Dejean, 1834)",T. McAvoy (recorded by)||M. E. Hellier (georeferenced by),T. McAvoy (recorded by),1974-08-17,1974-08-17,1974/08/17,lifeStage: Adult||preparations: pinned specimen,"""New Castle, Delaware, United States""",Newark,39.683723 || -75.749657,39.683723,-75.749657,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,4d0d5b53-9e32-4919-bf39-3bed11149784,https://ecdysis.org/collections/individual/index.php?occid=1730435,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
