identifier,title,description,language,creator,subject,date_created,start_date,end_date,type,collection,coverage,medium,format,rights,data_provider,repository,visibility
CRW_CRW_000001,Minutes of the Crewe Town Council 1894-1900,,English,Town of Crewe. Town Office,Virginia||Crewe (Va.)|| Railroads||Minutes (Records),1894/1900,1894,1900,Text,Minutes of the Crewe Town Council,"Crewe, Nottoway, Virginia, United States",government records,image/jpeg,http://rightsstatements.org/vocab/InC-EDU/1.0/,Virginia Polytechnic Institute and State University. University Libraries,Town of Crewe. Town Office,TRUE
CRW_CRW_000002,Minutes of the Crewe Town Council 1910-1912,,English,Town of Crewe. Town Office,Virginia||Crewe (Va.)|| Railroads||Minutes (Records),1910/1912,1910,1912,Text,Minutes of the Crewe Town Council,"Crewe, Nottoway, Virginia, United States",government records,image/jpeg,http://rightsstatements.org/vocab/InC-EDU/1.0/,Virginia Polytechnic Institute and State University. University Libraries,Town of Crewe. Town Office,TRUE
CRW_CRW_000003,Minutes of the Crewe Town Council 1912-1919,,English,Town of Crewe. Town Office,Virginia||Crewe (Va.)|| Railroads||Minutes (Records),1912/1919,1912,1919,Text,Minutes of the Crewe Town Council,"Crewe, Nottoway, Virginia, United States",government records,image/jpeg,http://rightsstatements.org/vocab/InC-EDU/1.0/,Virginia Polytechnic Institute and State University. University Libraries,Town of Crewe. Town Office,TRUE
CRW_CRW_000004,Minutes of the Crewe Town Council 1919-1930,,English,Town of Crewe. Town Office,Virginia||Crewe (Va.)|| Railroads||Minutes (Records),1919/1930,1919,1930,Text,Minutes of the Crewe Town Council,"Crewe, Nottoway, Virginia, United States",government records,image/jpeg,http://rightsstatements.org/vocab/InC-EDU/1.0/,Virginia Polytechnic Institute and State University. University Libraries,Town of Crewe. Town Office,TRUE
CRW_CRW_000021,Minutes of the Crewe Town Council 1942-1951,,English,Town of Crewe. Town Office,Virginia||Crewe (Va.)|| Railroads||Minutes (Records),1942/1951,1942,1951,Text,Minutes of the Crewe Town Council,"Crewe, Nottoway, Virginia, United States",government records,image/jpeg,http://rightsstatements.org/vocab/InC-EDU/1.0/,Virginia Polytechnic Institute and State University. University Libraries,Town of Crewe. Town Office,TRUE
CRW_CRW_000022,Minutes of the Crewe Town Council 1951-1959,Pages of this item is displayed according to the original physical item's page sequence,English,Town of Crewe. Town Office,Virginia||Crewe (Va.)|| Railroads||Minutes (Records),1951/1959,1951,1959,Text,Minutes of the Crewe Town Council,"Crewe, Nottoway, Virginia, United States",government records,image/jpeg,http://rightsstatements.org/vocab/InC-EDU/1.0/,Virginia Polytechnic Institute and State University. University Libraries,Town of Crewe. Town Office,TRUE
CRW_CRW_000027,Minutes of the Crewe Town Council 1989-1994,,English,Town of Crewe. Town Office,Virginia||Crewe (Va.)|| Railroads||Minutes (Records),1989/1994,1989,1994,Text,Minutes of the Crewe Town Council,"Crewe, Nottoway, Virginia, United States",government records,image/jpeg,http://rightsstatements.org/vocab/InC-EDU/1.0/,Virginia Polytechnic Institute and State University. University Libraries,Town of Crewe. Town Office,TRUE
CRW_CRW_000028,An ordinance providing for the disposition of a portion of the town of crewe industrial park,This item is part of Minutes of the Crewe Town Council 1989-1994 (CRW_CRW_000027),English,Town of Crewe. Town Office,Virginia||Crewe (Va.)|| Railroads||Minutes (Records),1998,1998,,Text,Minutes of the Crewe Town Council,"Crewe, Nottoway, Virginia, United States",government records,image/jpeg,http://rightsstatements.org/vocab/InC-EDU/1.0/,Virginia Polytechnic Institute and State University. University Libraries,Town of Crewe. Town Office,TRUE
CRW_CRW_000029,An ordinance providing for the disposition of a portion of the Town of Crewe industrial park (amended),This item is part of Minutes of the Crewe Town Council 1989-1994 (CRW_CRW_000027),English,Town of Crewe. Town Office,Virginia||Crewe (Va.)|| Railroads||Minutes (Records),1998,1998,,Text,Minutes of the Crewe Town Council,"Crewe, Nottoway, Virginia, United States",government records,image/jpeg,http://rightsstatements.org/vocab/InC-EDU/1.0/,Virginia Polytechnic Institute and State University. University Libraries,Town of Crewe. Town Office,TRUE
CRW_CRW_000030,"Resolution adopted Apr 13, 1998",This item is part of Minutes of the Crewe Town Council 1989-1994 (CRW_CRW_000027). OEDP Resolution,English,Town of Crewe. Town Office,Virginia||Crewe (Va.)|| Railroads||Minutes (Records),1998,1998,,Text,Minutes of the Crewe Town Council,"Crewe, Nottoway, Virginia, United States",government records,image/jpeg,http://rightsstatements.org/vocab/InC-EDU/1.0/,Virginia Polytechnic Institute and State University. University Libraries,Town of Crewe. Town Office,TRUE
