row_in_metadata,identifier,succeeded,message
2,swva_fchs_1950.001.003,True,Row 2: swva_fchs_1950.001.003 has been successfully imported. Succeeded: True
3,swva_fchs_1950.001.004,True,Row 3: swva_fchs_1950.001.004 has been successfully imported. Succeeded: True
4,swva_fchs_1950.001.009,True,Row 4: swva_fchs_1950.001.009 has been successfully imported. Succeeded: True
5,swva_fchs_1950.001.010,True,Row 5: swva_fchs_1950.001.010 has been successfully imported. Succeeded: True
6,swva_fchs_1950.001.012,True,Row 6: swva_fchs_1950.001.012 has been successfully imported. Succeeded: True
7,swva_fchs_1950.001.020,True,Row 7: swva_fchs_1950.001.020 has been successfully imported. Succeeded: True
8,swva_fchs_1950.001.021,True,Row 8: swva_fchs_1950.001.021 has been successfully imported. Succeeded: True
9,swva_fchs_1950.001.035,True,Row 9: swva_fchs_1950.001.035 has been successfully imported. Succeeded: True
10,swva_fchs_1950.001.036,True,Row 10: swva_fchs_1950.001.036 has been successfully imported. Succeeded: True
11,swva_fchs_1950.001.038,True,Row 11: swva_fchs_1950.001.038 has been successfully imported. Succeeded: True
12,swva_fchs_1950.001.043,True,Row 12: swva_fchs_1950.001.043 has been successfully imported. Succeeded: True
13,swva_fchs_1950.001.044,True,Row 13: swva_fchs_1950.001.044 has been successfully imported. Succeeded: True
14,swva_fchs_1950.001.045,True,Row 14: swva_fchs_1950.001.045 has been successfully imported. Succeeded: True
15,swva_fchs_1950.001.046,True,Row 15: swva_fchs_1950.001.046 has been successfully imported. Succeeded: True
16,swva_fchs_1950.001.047,True,Row 16: swva_fchs_1950.001.047 has been successfully imported. Succeeded: True
17,swva_fchs_1950.001.048,True,Row 17: swva_fchs_1950.001.048 has been successfully imported. Succeeded: True
18,swva_fchs_1950.001.050,True,Row 18: swva_fchs_1950.001.050 has been successfully imported. Succeeded: True
19,swva_fchs_1950.001.051,True,Row 19: swva_fchs_1950.001.051 has been successfully imported. Succeeded: True
20,swva_fchs_1950.001.052,True,Row 20: swva_fchs_1950.001.052 has been successfully imported. Succeeded: True
21,swva_fchs_1950.001.053,True,Row 21: swva_fchs_1950.001.053 has been successfully imported. Succeeded: True
22,swva_fchs_1950.001.071,True,Row 22: swva_fchs_1950.001.071 has been successfully imported. Succeeded: True
23,swva_fchs_1950.001.0124,True,Row 23: swva_fchs_1950.001.0124 has been successfully imported. Succeeded: True
24,swva_fchs_1950.001.128,False,Error Row 24: manifest.json not found for Archive swva_fchs_1950.001.128 in s3 bucket. Succeeded: False
25,swva_fchs_1950.001.131,False,Error Row 25: manifest.json not found for Archive swva_fchs_1950.001.131 in s3 bucket. Succeeded: False
26,swva_fchs_1950.001.132,False,Error Row 26: manifest.json not found for Archive swva_fchs_1950.001.132 in s3 bucket. Succeeded: False
27,swva_fchs_1950.001.133,False,Error Row 27: manifest.json not found for Archive swva_fchs_1950.001.133 in s3 bucket. Succeeded: False
28,swva_fchs_1950.001.134,False,Error Row 28: manifest.json not found for Archive swva_fchs_1950.001.134 in s3 bucket. Succeeded: False
29,swva_fchs_1950.001.140,False,Error Row 29: manifest.json not found for Archive swva_fchs_1950.001.140 in s3 bucket. Succeeded: False
30,swva_fchs_1950.001.141,False,Error Row 30: manifest.json not found for Archive swva_fchs_1950.001.141 in s3 bucket. Succeeded: False
31,swva_fchs_1950.001.142,False,Error Row 31: manifest.json not found for Archive swva_fchs_1950.001.142 in s3 bucket. Succeeded: False
32,swva_fchs_1950.001.143,False,Error Row 32: manifest.json not found for Archive swva_fchs_1950.001.143 in s3 bucket. Succeeded: False
33,swva_fchs_1950.001.144,False,Error Row 33: manifest.json not found for Archive swva_fchs_1950.001.144 in s3 bucket. Succeeded: False
34,swva_fchs_1950.001.145,False,Error Row 34: manifest.json not found for Archive swva_fchs_1950.001.145 in s3 bucket. Succeeded: False
35,swva_fchs_1950.001.146,False,Error Row 35: manifest.json not found for Archive swva_fchs_1950.001.146 in s3 bucket. Succeeded: False
36,swva_fchs_1950.001.151,False,Error Row 36: manifest.json not found for Archive swva_fchs_1950.001.151 in s3 bucket. Succeeded: False
37,swva_fchs_1983.001.002,True,Row 37: swva_fchs_1983.001.002 has been successfully imported. Succeeded: True
38,swva_fchs_1992.001.001,True,Row 38: swva_fchs_1992.001.001 has been successfully imported. Succeeded: True
39,swva_fchs_1996.001.001,True,Row 39: swva_fchs_1996.001.001 has been successfully imported. Succeeded: True
40,swva_fchs_1996.002.001,False,Error Row 40: manifest.json not found for Archive swva_fchs_1996.002.001 in s3 bucket. Succeeded: False
41,swva_fchs_1996.003.001,True,Row 41: swva_fchs_1996.003.001 has been successfully imported. Succeeded: True
42,swva_fchs_1996.004.001,True,Row 42: swva_fchs_1996.004.001 has been successfully imported. Succeeded: True
43,swva_fchs_2000.001.001,True,Row 43: swva_fchs_2000.001.001 has been successfully imported. Succeeded: True
44,swva_fchs_2001.001.001,True,Row 44: swva_fchs_2001.001.001 has been successfully imported. Succeeded: True
45,swva_fchs_2001.001.002,True,Row 45: swva_fchs_2001.001.002 has been successfully imported. Succeeded: True
46,swva_fchs_2001.001.003,True,Row 46: swva_fchs_2001.001.003 has been successfully imported. Succeeded: True
47,swva_fchs_2006.004.002,True,Row 47: swva_fchs_2006.004.002 has been successfully imported. Succeeded: True
48,swva_fchs_2006.023.001,True,Row 48: swva_fchs_2006.023.001 has been successfully imported. Succeeded: True
49,swva_fchs_2006.027.002,True,Row 49: swva_fchs_2006.027.002 has been successfully imported. Succeeded: True
50,swva_fchs_2006.034.001,True,Row 50: swva_fchs_2006.034.001 has been successfully imported. Succeeded: True
51,swva_fchs_2006.037.001,True,Row 51: swva_fchs_2006.037.001 has been successfully imported. Succeeded: True
52,swva_fchs_2007.002.002,True,Row 52: swva_fchs_2007.002.002 has been successfully imported. Succeeded: True
53,swva_fchs_2007.003.002,True,Row 53: swva_fchs_2007.003.002 has been successfully imported. Succeeded: True
54,swva_fchs_2007.006.001,True,Row 54: swva_fchs_2007.006.001 has been successfully imported. Succeeded: True
55,swva_fchs_2010.001.001,True,Row 55: swva_fchs_2010.001.001 has been successfully imported. Succeeded: True
56,swva_fchs_2010.001.002,True,Row 56: swva_fchs_2010.001.002 has been successfully imported. Succeeded: True
57,swva_fchs_2010.001.003,True,Row 57: swva_fchs_2010.001.003 has been successfully imported. Succeeded: True
58,swva_fchs_2010.004.001,True,Row 58: swva_fchs_2010.004.001 has been successfully imported. Succeeded: True
59,swva_fchs_2010.006.001,True,Row 59: swva_fchs_2010.006.001 has been successfully imported. Succeeded: True
